developer,event_type,scope,date,branch,tool,model,hours,sessions,interactions,input_tokens,output_tokens,cache_creation_input_tokens,cache_read_input_tokens,generated_at
dev-4e707577,dev_summary,legacy,,,,,5.65,7,1509,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-17,,Antigravity,Indeterminado (pré-migração),1.3333,3,171,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-17,,Claude Code,Claude Opus 4.7,0.0833,1,158,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-17,,Claude Code,Claude Sonnet 4.6,0.15,1,48,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-18,,Antigravity,Indeterminado (pré-migração),0.4833,1,215,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-18,,Claude Code,Claude Opus 4.7,1.0,1,176,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-18,,Claude Code,Claude Sonnet 4.6,0.5833,1,262,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-19,,Antigravity,Indeterminado (pré-migração),1.35,2,210,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_daily,,2026-05-19,,Claude Code,Claude Opus 4.7,0.6833,2,269,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-17,1-2-makefile-scripts,Antigravity,Gemini 3.1 Pro (High),0.3667,,28,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-17,1-3-bootstrap-argocd,Claude Code,Claude Opus 4.7,0.05,,145,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-17,main,"Antigravity, Claude Code","Claude Opus 4.7, Claude Sonnet 4.6, Gemini 3.1 Pro (High)",1.15,,203,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-17,remotes/origin/1-2-makefile-scripts,Antigravity,Gemini 3.1 Pro (High),0.0,,1,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-18,1-3-bootstrap-argocd,"Antigravity, Claude Code","Claude Opus 4.7, Gemini 3.1 Pro (High)",1.2167,,245,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-18,1-4-linter-yaml-pipeline-ci-readme,Claude Code,Claude Sonnet 4.6,0.5833,,262,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-18,main,Antigravity,Gemini 3.1 Pro (High),0.2833,,146,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,activity_branch,,2026-05-19,time-tracker,"Antigravity, Claude Code","Claude Opus 4.7, Gemini 3.1 Pro (High)",2.0333,,479,,,,,2026-05-21T01:19:26.591164-03:00
dev-4e707577,dev_summary,live,,,,,4.6381,10,1373,,,,,2026-05-21T22:39:41.595898-03:00
dev-4e707577,activity_daily,,2026-05-20,,Antigravity,Claude Sonnet 4.6 (Thinking),0.7944,1,73,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-20,,Antigravity,Gemini 3.1 Pro (High),1.2489,3,242,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-20,,Antigravity,Gemini 3.5 Flash (High),0.475,1,48,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-20,,Antigravity,Gemini 3.5 Flash (Medium),0.0,1,0,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-20,,Claude Code,Claude Opus 4.7,0.0,1,0,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-20,,Claude Code,Claude Sonnet 4.6,0.0,1,0,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-21,,Antigravity,Gemini 3.1 Pro (High),0.0656,0,12,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-21,,Antigravity,Gemini 3.5 Flash (Medium),0.1644,0,240,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-21,,Claude Code,Claude Haiku 4.5,0.1158,1,168,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-21,,Claude Code,Claude Opus 4.7,0.9606,0,162,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_daily,,2026-05-21,,Claude Code,Claude Sonnet 4.6,0.8134,1,428,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_branch,,2026-05-20,time-tracker,"Antigravity, Claude Code","Claude Opus 4.7, Claude Sonnet 4.6, Claude Sonnet 4.6 (Thinking), Gemini 3.1 Pro (High), Gemini 3.5 Flash (High), Gemini 3.5 Flash (Medium)",2.5183,,363,,,,,2026-05-21T22:39:41.595487-03:00
dev-4e707577,activity_branch,,2026-05-21,time-tracker,"Antigravity, Claude Code","Claude Haiku 4.5, Claude Opus 4.7, Claude Sonnet 4.6, Gemini 3.1 Pro (High), Gemini 3.5 Flash (Medium)",2.1198,,1010,,,,,2026-05-21T22:39:41.595487-03:00
dev-39d71ab2,dev_summary,legacy,,,,,20.35,11,3621,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-11,,Antigravity,Indeterminado (pré-migração),1.1833,1,95,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-12,,Antigravity,Indeterminado (pré-migração),6.75,3,472,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-12,,Claude Code,Claude Opus 4.7,0.0,1,0,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-12,,Claude Code,Claude Sonnet 4.6,0.1833,1,96,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-13,,Antigravity,Indeterminado (pré-migração),0.15,1,46,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-13,,Claude Code,Claude Opus 4.7,0.4833,0,221,,,,,2026-05-21T01:19:26.591164-03:00
dev-39d71ab2,activity_daily,,2026-05-13,,Claude Code,Claude Sonnet 4.6,1.9833,1,655,,,,,2026-05-21T01:19:26.591164-03:00
